,species,zombie_forest_proportion
3,Abies concolor,0.08200455580865604
4,Abies magnifica,0.007633587786259542
19,Acer macrophyllum,0.33540372670807456
28,Achillea millefolium,0.10668380462724936
47,Aconitum columbianum,0.02109704641350211
62,Actaea rubra,0.023809523809523808
75,Adelinia grande,0.7116279069767442
76,Adenocaulon bicolor,0.10057471264367816
91,Aesculus californica,0.8734177215189873
109,Agastache urticifolia,0.014150943396226415
113,Ageratina occidentalis,0.01680672268907563
131,Agriades podarce,0.047244094488188976
176,Allium campanulatum,0.037825059101654845
191,Allium validum,0.015189873417721518
200,Allotropa virgata,0.02586206896551724
218,Amanita muscaria,0.023121387283236993
254,Anaphalis margaritacea,0.0
259,Anas platyrhynchos,0.13135593220338984
269,Anaxyrus boreas,0.18859649122807018
270,Anaxyrus canorus,0.0
292,Angelica breweri,0.0
293,Angelica capitellata,0.01870748299319728
376,Apis mellifera,0.16740088105726872
378,Apocynum androsaemifolium,0.06867671691792294
383,Aquarius remigis,0.16911764705882354
385,Aquilegia formosa,0.07080610021786492
386,Aquilegia pubescens,0.014492753623188406
398,Arbutus menziesii,0.685131195335277
412,Arctostaphylos nevadensis,0.009925558312655087
415,Arctostaphylos patula,0.027196652719665274
417,Arctostaphylos viscida,0.4214123006833713
434,Ariolimax buttoni,0.42771084337349397
466,Artemisia douglasiana,0.3770491803278688
475,Artemisia tridentata,0.0738255033557047
480,Asarum hartwegii,0.2860576923076923
484,Asclepias cordifolia,0.3203463203463203
487,Asclepias speciosa,0.19555555555555557
504,Aspidotis densa,0.18691588785046728
621,Bistorta bistortoides,0.007462686567164179
655,Boletus edulis,0.02459016393442623
662,Boloria epithore,0.014634146341463415
682,Bombus vosnesenskii,0.12254901960784313
711,Branta canadensis,0.31952662721893493
717,Brewerimitella breweri,0.0
725,Brodiaea elegans,0.31654676258992803
767,Buteo jamaicensis,0.13524590163934427
810,Callospermophilus lateralis,0.020481927710843374
814,Calocedrus decurrens,0.20345345345345345
817,Calochortus albus,0.9698795180722891
825,Calochortus leichtlinii,0.022847100175746926
827,Calochortus minimus,0.03233256351039261
828,Calochortus monophyllus,0.4942528735632184
834,Calochortus venustus,0.5661764705882353
847,Caloscypha fulgens,0.04054054054054054
851,Caltha leptosepala,0.0
854,Calvatia sculpta,0.043478260869565216
858,Calycanthus occidentalis,0.42857142857142855
865,Calypte anna,0.45217391304347826
868,Calyptridium monospermum,0.03051181102362205
877,Camassia quamash,0.0
892,Camponotus modoc,0.034482758620689655
898,Canis latrans,0.18243243243243243
918,Cardellina pusilla,0.017543859649122806
974,Castilleja applegatei,0.04784688995215311
983,Castilleja lemmonii,0.0
987,Castilleja miniata,0.015957446808510637
1002,Catharus guttatus,0.47183098591549294
1019,Ceanothus cordulatus,0.015810276679841896
1024,Ceanothus integerrimus,0.27889447236180903
1029,Ceanothus parvifolius,0.029069767441860465
1032,Ceanothus prostratus,0.055350553505535055
1035,Ceanothus velutinus,0.011940298507462687
1036,Celastrina ladon,0.13043478260869565
1049,Cephalanthera austiniae,0.14285714285714285
1065,Cercocarpus ledifolius,0.053811659192825115
1077,Certhia americana,0.07777777777777778
1083,Chaenactis douglasii,0.027972027972027972
1097,Chalcophora angulicollis,0.1557377049180328
1101,Chamaebatia foliolosa,0.26629680998613037
1102,Chamaebatiaria millefolium,0.06542056074766354
1103,Chamaenerion angustifolium,0.017059301380991064
1108,Charina bottae,0.029411764705882353
1114,Chimaphila menziesii,0.0392156862745098
1115,Chimaphila umbellata,0.07253886010362694
1125,Chlorogalum pomeridianum,0.38596491228070173
1130,Chlosyne hoffmanni,0.0
1131,Chlosyne palla,0.16666666666666666
1155,Chrysolepis sempervirens,0.01818181818181818
1187,Cinclus mexicanus,0.09868421052631579
1196,Cirsium andersonii,0.003205128205128205
1203,Cirsium scariosum,0.008264462809917356
1205,Cirsium vulgare,0.17535545023696683
1229,Clarkia rhomboidea,0.20077220077220076
1252,Claytonia parviflora,0.41904761904761906
1253,Claytonia perfoliata,0.41935483870967744
1254,Claytonia rubra,0.13114754098360656
1269,Clintonia uniflora,0.0
1297,Colaptes auratus,0.21673003802281368
1303,Colias eurytheme,0.09322033898305085
1311,Collinsia tinctoria,0.5789473684210527
1312,Collinsia torreyi,0.012658227848101266
1314,Collomia grandiflora,0.12241653418124006
1315,Collomia heterophylla,0.3503184713375796
1343,Contopus sordidulus,0.1037037037037037
1358,Corallorhiza maculata,0.03146853146853147
1359,Corallorhiza striata,0.023255813953488372
1373,Cornus nuttallii,0.12031386224934612
1374,Cornus sericea,0.07058823529411765
1422,Corvus corax,0.08494208494208494
1426,Corylus cornuta,0.18497109826589594
1435,Cosmosalia chrysocoma,0.0
1465,Crotalus oreganus,0.3
1484,Cryptogramma acrostichoides,0.008264462809917356
1485,Cryptoporus volvatus,0.05699481865284974
1505,Cyanocitta stelleri,0.1276747503566334
1540,Cystopteris fragilis,0.13861386138613863
1541,Cytisus scoparius,0.822429906542056
1550,Danaus plexippus,0.15454545454545454
1556,Darmera peltata,0.22255192878338279
1586,Dendragapus fuliginosus,0.014251781472684086
1624,Dicentra formosa,0.294478527607362
1627,Dicentra uniflora,0.0
1635,Dichelostemma multiflorum,0.3465346534653465
1646,Digitalis purpurea,0.3333333333333333
1661,Diplacus bicolor,0.13157894736842105
1668,Diplacus grandiflorus,0.5652173913043478
1674,Diplacus mephiticus,0.026041666666666668
1680,Diplacus torreyi,0.0498812351543943
1690,Dipterostemon capitatus,0.5555555555555556
1699,Dodecatheon alpinum,0.008403361344537815
1728,Draperia systyla,0.06086956521739131
1751,Drosera rotundifolia,0.0
1754,Drymocallis glandulosa,0.10091743119266056
1760,Dryocopus pileatus,0.09666666666666666
1767,Dudleya cymosa,0.3485714285714286
1804,Elgaria coerulea,0.0873015873015873
1805,Elgaria multicarinata,0.601123595505618
1811,Elymus elymoides,0.05217391304347826
1841,Ensatina eschscholtzii,0.28619528619528617
1866,Epilobium canum,0.12796208530805686
1890,Equisetum arvense,0.08888888888888889
1911,Eresia aveyrona,0.14465408805031446
1943,Erigeron coulteri,0.0
1961,Eriodictyon californicum,0.5084745762711864
1976,Eriogonum incanum,0.0
1986,Eriogonum nudum,0.06367924528301887
2000,Eriogonum umbellatum,0.04780876494023904
2012,Eriophyllum lanatum,0.1978021978021978
2029,Erynnis propertius,0.14285714285714285
2031,Erysimum capitatum,0.10869565217391304
2040,Erythranthe bicolor,0.1634980988593156
2041,Erythranthe breweri,0.03503184713375796
2043,Erythranthe cardinalis,0.23214285714285715
2047,Erythranthe erubescens,0.001851851851851852
2053,Erythranthe guttata,0.10465116279069768
2061,Erythranthe moschata,0.06060606060606061
2065,Erythranthe primuloides,0.0205761316872428
2075,Erythronium purpurascens,0.0
2092,Eucephalus breweri,0.0
2126,Euphagus cyanocephalus,0.05944055944055944
2199,Fomitopsis mounceae,0.0297029702970297
2217,Fragaria vesca,0.1759656652360515
2218,Fragaria virginiana,0.009900990099009901
2224,Frasera speciosa,0.0
2230,Fritillaria atropurpurea,0.06832298136645963
2233,Fritillaria micrantha,0.42953020134228187
2307,Gentiana calycosa,0.0
2308,Gentiana newberryi,0.013793103448275862
2317,Geothlypis tolmiei,0.06481481481481481
2326,Geranium richardsonii,0.0189873417721519
2362,Gnophaela latipennis,0.040983606557377046
2373,Goodyera oblongifolia,0.13333333333333333
2394,Guepiniopsis alpina,0.0297029702970297
2427,Hackelia mundula,0.005050505050505051
2434,Haemorhous cassinii,0.007462686567164179
2466,Helenium bigelovii,0.049429657794676805
2495,Hemileuca eglanterina,0.018018018018018018
2507,Heracleum maximum,0.02077922077922078
2521,Hesperiphona vespertina,0.007352941176470588
2537,Heteromeles arbutifolia,0.8920863309352518
2546,Hieracium albiflorum,0.0944055944055944
2547,Hieracium horridum,0.024691358024691357
2551,Hippodamia convergens,0.21153846153846154
2568,Holodiscus discolor,0.03184713375796178
2585,Hosackia crassifolia,0.08148148148148149
2587,Hosackia oblongifolia,0.058315334773218146
2597,Hyalophora euryalus,0.20863309352517986
2613,Hydrophyllum alpestre,0.0
2638,Hyles lineata,0.11572052401746726
2674,Icaricia icarioides,0.0374331550802139
2676,Icaricia saepiolus,0.02631578947368421
2719,Ipomopsis aggregata,0.006568144499178982
2725,Iris hartwegii,0.19230769230769232
2728,Iris missouriensis,0.024390243902439025
2757,Junco hyemalis,0.10731132075471699
2772,Juniperus occidentalis,0.023746701846965697
2775,Kalmia microphylla,0.0
2776,Keckiella breviflora,0.26956521739130435
2780,Kelloggia galioides,0.013071895424836602
2828,Laetiporus conifericola,0.01293103448275862
2873,Lathyrus latifolius,0.39464882943143814
2877,Lathyrus sulphureus,0.5240641711229946
2936,Leptosiphon ciliatus,0.03056768558951965
2956,Lepus californicus,0.6062992125984252
2968,Letharia columbiana,0.06896551724137931
2970,Letharia vulpina,0.042222222222222223
2979,Leuconotopicus albolarvatus,0.047619047619047616
2980,Leuconotopicus villosus,0.12034383954154727
3005,Libellula pulchella,0.19607843137254902
3006,Libellula quadrimaculata,0.012048192771084338
3011,Ligusticum grayi,0.0
3013,Lilium humboldtii,0.61875
3014,Lilium kelleyanum,0.05017921146953405
3015,Lilium pardalinum,0.14487632508833923
3016,Lilium parvum,0.007751937984496124
3017,Lilium washingtonianum,0.049019607843137254
3020,Limenitis bredowii,0.30198019801980197
3021,Limenitis lorquini,0.13742690058479531
3032,Linanthus pungens,0.0547945205479452
3042,Linum lewisii,0.01910828025477707
3087,Lonicera conjugialis,0.0
3088,Lonicera hispidula,0.7195121951219512
3090,Lonicera involucrata,0.013559322033898305
3093,Lophocampa argentata,0.14473684210526316
3094,Lophocampa maculata,0.01639344262295082
3149,Lupinus stiversii,0.2952029520295203
3159,Lycaeides anna,0.0
3161,Lycaena cupreus,0.009174311926605505
3170,Lynx rufus,0.2677165354330709
3174,Lysimachia latifolia,0.36910994764397903
3196,Madia elegans,0.5060975609756098
3205,Maianthemum racemosum,0.0931899641577061
3206,Maianthemum stellatum,0.058091286307053944
3207,Malacosoma californica,0.058823529411764705
3229,Marchantia polymorpha,0.08196721311475409
3235,Marmota flaviventris,0.018726591760299626
3271,Melanerpes formicivorus,0.6069364161849711
3287,Meleagris gallopavo,0.6739130434782609
3305,Melospiza melodia,0.06201550387596899
3327,Mergus merganser,0.041176470588235294
3331,Mertensia ciliata,0.017094017094017096
3346,Micranthes oregana,0.0
3372,Mitoura nelsoni,0.06557377049180328
3388,Monardella odoratissima,0.022727272727272728
3393,Monochamus scutellatus,0.056074766355140186
3428,Myadestes townsendi,0.025252525252525252
3468,Myriopteris gracillima,0.035211267605633804
3505,Navarretia leptalea,0.0
3528,Nemophila heterophylla,0.5545454545454546
3529,Nemophila maculata,0.10486891385767791
3552,Neolentinus ponderosus,0.05555555555555555
3596,Notholithocarpus densiflorus,0.4406779661016949
3599,Nucifraga columbiana,0.03307888040712468
3606,Nymphalis antiopa,0.05429864253393665
3607,Nymphalis californica,0.09462365591397849
3611,Occidryas chalcedona,0.24752475247524752
3615,Ochotona princeps,0.013157894736842105
3620,Odocoileus hemionus,0.28353658536585363
3659,Omus californicus,0.07920792079207921
3663,Oncorhynchus mykiss,0.05660377358490566
3672,Opuntia polyacantha,0.11678832116788321
3683,Oreortyx pictus,0.09701492537313433
3692,Orthilia secunda,0.005555555555555556
3708,Otospermophilus beecheyi,0.11199095022624435
3746,Paeonia brownii,0.0028653295128939827
3753,Pandion haliaetus,0.09448818897637795
3764,Papilio eurymedon,0.12022900763358779
3767,Papilio rutulus,0.18604651162790697
3788,Parnassia palustris,0.0
3789,Parnassius clodius,0.026717557251908396
3797,Passerella iliaca,0.04184100418410042
3810,Pedicularis attollens,0.0035971223021582736
3813,Pedicularis groenlandica,0.02459016393442623
3815,Pedicularis semibarbata,0.026525198938992044
3824,Pellaea bridgesii,0.007874015748031496
3841,Penstemon deustus,0.009900990099009901
3847,Penstemon heterodoxus,0.007407407407407408
3851,Penstemon laetus,0.10327455919395466
3853,Penstemon newberryi,0.019192587690271344
3860,Penstemon rostriflorus,0.07942238267148015
3861,Penstemon rydbergii,0.007246376811594203
3863,Penstemon speciosus,0.075
3868,Pentagramma triangularis,0.7669902912621359
3918,Phacelia hydrophylloides,0.004629629629629629
3973,Pheucticus melanocephalus,0.24193548387096775
4002,Phlox diffusa,0.019656019656019656
4004,Phlox gracilis,0.1391304347826087
4050,Phyciodes tharos,0.02631578947368421
4053,Phyllodoce breweri,0.0033277870216306157
4059,Phyllotopsis nidulans,0.3017241379310345
4076,Picoides arcticus,0.0
4080,Pinus albicaulis,0.0070921985815602835
4082,Pinus balfouriana,0.1568627450980392
4083,Pinus contorta,0.0208
4086,Pinus jeffreyi,0.03785488958990536
4087,Pinus lambertiana,0.09702660406885759
4088,Pinus longaeva,0.009287925696594427
4089,Pinus monophylla,0.21076233183856502
4090,Pinus monticola,0.0049504950495049506
4091,Pinus ponderosa,0.352059925093633
4094,Pipilo chlorurus,0.01485148514851485
4095,Pipilo maculatus,0.5034013605442177
4097,Piranga ludoviciana,0.06652360515021459
4104,Pituophis catenifer,0.44761904761904764
4115,Platanthera dilatata,0.023295944779982744
4119,Platanthera sparsiflora,0.01015228426395939
4121,Platanthera transversa,0.2920353982300885
4191,Poecile gambeli,0.04035874439461883
4194,Polemonium californicum,0.0
4198,Polemonium occidentale,0.009433962264150943
4205,Polites mystic,0.008928571428571428
4213,Polygonia gracilis,0.012658227848101266
4252,Populus tremuloides,0.010291595197255575
4272,Potentilla douglasii,0.0
4277,Potentilla gracilis,0.014084507042253521
4314,Prosartes hookeri,0.11764705882352941
4327,Prunella vulgaris,0.22191011235955055
4332,Prunus emarginata,0.014925373134328358
4348,Pseudacris regilla,0.20411817367949867
4379,Pseudotsuga menziesii,0.3709677419354839
4396,Pteridium aquilinum,0.12298959318826869
4399,Pterospora andromedea,0.048573163327261686
4422,Purshia tridentata,0.0343980343980344
4445,Pyrola aphylla,0.07627118644067797
4446,Pyrola asarifolia,0.008
4447,Pyrola dentata,0.018072289156626505
4449,Pyrola picta,0.007668711656441718
4459,Quercus chrysolepis,0.4793388429752066
4465,Quercus kelloggii,0.2960470984020185
4468,Quercus vacciniifolia,0.0027397260273972603
4488,Rana boylii,0.38562091503267976
4491,Rana sierrae,0.022900763358778626
4534,Rhodiola integrifolia,0.022556390977443608
4537,Rhododendron columbianum,0.016853932584269662
4538,Rhododendron occidentale,0.08950086058519793
4559,Ribes cereum,0.028368794326241134
4563,Ribes montigenum,0.04040404040404041
4564,Ribes nevadense,0.06932773109243698
4566,Ribes roezlii,0.11500547645125958
4568,Ribes viscosissimum,0.0
4585,Rosa woodsii,0.03496503496503497
4590,Rubus armeniacus,0.7307692307692307
4593,Rubus laciniatus,0.3870967741935484
4595,Rubus parviflorus,0.07654563297350343
4597,Rudbeckia californica,0.013793103448275862
4655,Salvelinus fontinalis,0.027149321266968326
4661,Sambucus cerulea,0.10120481927710843
4662,Sambucus racemosa,0.0
4674,Sarcodes sanguinea,0.043219076005961254
4696,Sceloporus graciosus,0.1023454157782516
4697,Sceloporus occidentalis,0.2348643006263048
4714,Sciurus griseus,0.4886164623467601
4748,Sedum obtusatum,0.0
4751,Sedum spathulifolium,0.4560669456066946
4767,Senecio integerrimus,0.004424778761061947
4772,Senecio triangularis,0.0029239766081871343
4774,Sequoiadendron giganteum,0.015016088666428316
4785,Setophaga auduboni,0.08
4787,Setophaga coronata,0.08266666666666667
4790,Setophaga occidentalis,0.07633587786259542
4796,Sialia currucoides,0.0
4797,Sialia mexicana,0.3888888888888889
4806,Sidalcea glaucescens,0.007575757575757576
4809,Sidalcea oregana,0.00904977375565611
4817,Silene coronaria,0.4166666666666667
4821,Silene laciniata,0.5416666666666666
4823,Silene lemmonii,0.06578947368421052
4845,Sitta canadensis,0.06561679790026247
4846,Sitta carolinensis,0.14356435643564355
4850,Smithiastrum prenanthoides,0.13478260869565217
4919,Sphyrapicus ruber,0.08185053380782918
4920,Sphyrapicus thyroideus,0.01834862385321101
4927,Spinus psaltria,0.5083333333333333
4931,Spiraea splendens,0.0013736263736263737
4937,Spizella passerina,0.08088235294117647
5002,Streptanthus tortuosus,0.028493894165535955
5022,Strymon saepium,0.04065040650406504
5056,Sympetrum pallipes,0.07407407407407407
5061,Symphoricarpos mollis,0.03597122302158273
5115,Tamias speciosus,0.007407407407407408
5117,Tamiasciurus douglasii,0.042081949058693245
5132,Taraxacum officinale,0.15315315315315314
5137,Taricha sierrae,0.5209003215434084
5142,Taxus brevifolia,0.08661417322834646
5159,Thalictrum fendleri,0.0392156862745098
5162,Thamnophis couchii,0.18055555555555555
5163,Thamnophis elegans,0.02821316614420063
5168,Tharsalea editha,0.0
5225,Toxicodendron diversilobum,0.6890756302521008
5236,Tragopogon dubius,0.07441860465116279
5259,Trichodes ornatus,0.18723404255319148
5304,Trifolium longipes,0.0
5328,Trimerotropis verruculata,0.029069767441860465
5343,Triteleia hyacinthina,0.12121212121212122
5344,Triteleia ixioides,0.10431654676258993
5358,Tsuga mertensiana,0.0
5369,Turdus migratorius,0.1950354609929078
5387,Umbellularia californica,0.4642857142857143
5398,Urocitellus beldingi,0.0
5399,Uroctonus mordax,0.22556390977443608
5400,Urocyon cinereoargenteus,0.5441860465116279
5402,Ursus americanus,0.08430717863105175
5414,Valeriana californica,0.0
5417,Vanessa cardui,0.09259259259259259
5418,Vanessa virginiensis,0.14018691588785046
5421,Veratrum californicum,0.015894039735099338
5423,Verbascum thapsus,0.1465863453815261
5442,Veronica serpyllifolia,0.0297029702970297
5456,Vicia americana,0.2125984251968504
5465,Viola adunca,0.043795620437956206
5471,Viola glabella,0.019417475728155338
5472,Viola lobata,0.12086330935251799
5473,Viola macloskeyi,0.0037174721189591076
5475,Viola pinetorum,0.04149377593360996
5477,Viola purpurea,0.10918544194107452
5480,Viola sheltonii,0.3
5501,Woodwardia fimbriata,0.5345911949685535
5505,Wyethia mollis,0.005502063273727648
5506,Wyethia sagittata,0.03468208092485549
5578,Zonotrichia leucophrys,0.09174311926605505
